name,municipality
Stredná odborná škola ekonomická a pedagogická s vyučovacím jazykom maďarským - Közgazdasági és Pedagógiai Szakközépisko,Senec
"Stredná odborná škola ekonomiky, hotelierstva a služieb Jána Andraščíka",Bardejov
Stredná odborná škola elektrotechnická (Gbely),Gbely
Stredná odborná škola elektrotechnická (Liptovský Hrádok),Liptovský Hrádok
Stredná odborná škola elektrotechnická (Poprad),Poprad
Stredná odborná škola elektrotechnická (Stropkov),Stropkov
Stredná odborná škola elektrotechnická (Trnava),Trnava
Stredná odborná škola elektrotechnická (Žilina),Žilina
Stredná odborná škola gastronómie a cestovného ruchu,Nitra
Stredná odborná škola gastronómie a hotelových služieb,Bratislava-Petržalka
Stredná odborná škola gastronómie a služieb (Prešov),Prešov
Stredná odborná škola gastronómie a služieb (Šurany),Šurany
Stredná odborná škola hotelová,Vysoké Tatry
Stredná odborná škola hotelových služieb a dopravy,Lučenec
Stredná odborná škola hotelových služieb a obchodu (Nové Zámky),Nové Zámky
Stredná odborná škola hotelových služieb a obchodu (Zvolen),Zvolen
Stredná odborná škola informačných technológií (Banská Bystrica),Banská Bystrica
Stredná odborná škola informačných technológií (Bratislava-Rača),Bratislava-Rača
Stredná odborná škola informačných technológií (Košice-Juh),Košice-Juh
Stredná odborná škola Jána Antonína Baťu,Partizánske
Stredná odborná škola kaderníctva a vizážistiky,Bratislava-Ružinov
Stredná odborná škola lesnícka (Banská Štiavnica),Banská Štiavnica
Stredná odborná škola lesnícka (Prešov),Prešov
Stredná odborná škola lesnícka a drevárska Jozefa Dekreta Matejovie,Liptovský Hrádok
Stredná odborná škola letecko - technická,Trenčín
Stredná odborná škola lýceum C. S. Lewisa,Bratislava-Petržalka
Stredná odborná škola masmediálnych a informačných štúdií,Bratislava-Rača
Stredná odborná škola obchodu a služieb (Dolný Kubín),Dolný Kubín
Stredná odborná škola obchodu a služieb (Galanta),Galanta
Stredná odborná škola obchodu a služieb (Humenné),Humenné
Stredná odborná škola obchodu a služieb (Martin),Martin
Stredná odborná škola obchodu a služieb (Michalovce),Michalovce
Stredná odborná škola obchodu a služieb (Nové Mesto nad Váhom),Nové Mesto nad Váhom
Stredná odborná škola obchodu a služieb (Piešťany),Piešťany
Stredná odborná škola obchodu a služieb (Prievidza),Prievidza
Stredná odborná škola obchodu a služieb (Púchov),Púchov
Stredná odborná škola obchodu a služieb (Rimavská Sobota),Rimavská Sobota
Stredná odborná škola obchodu a služieb (Trenčín),Trenčín
Stredná odborná škola obchodu a služieb (Trnava),Trnava
Stredná odborná škola obchodu a služieb (Čadca),Čadca
Stredná odborná škola obchodu a služieb (Žiar nad Hronom),Žiar nad Hronom
Stredná odborná škola obchodu a služieb - Kereskedelmi és Szolgáltatóipari Szakközépiskola,Komárno
Stredná odborná škola obchodu a služieb a Stredná odborná škola potravinárska,Topoľčany
Stredná odborná škola obchodu a služieb Jána Bocatia,Košice-Staré Mesto
Stredná odborná škola obchodu a služieb Samuela Jurkoviča,Bratislava-Ružinov
"Stredná odborná škola obchodu, služieb a rozvoja vidieka - Kereskedelmi, Szolgáltatóipari és Vidékfejlesztési Szakközépi",Kravany nad Dunajom
Stredná odborná škola pedagogická (Bratislava-Dúbravka),Bratislava-Dúbravka
Stredná odborná škola pedagogická (Levice),Levice
Stredná odborná škola pedagogická (Levoča),Levoča
Stredná odborná škola pedagogická (Modra),Modra
Stredná odborná škola pedagogická (Prešov),Prešov
Stredná odborná škola pedagogická (Turčianske Teplice),Turčianske Teplice
Stredná odborná škola pedagogická - Pedagógiai Szakközépiskola,Lučenec
Stredná odborná škola pedagogická sv. Andreja-Svorada a Benedikta,Trenčín
Stredná odborná škola pedagogická sv. Cyrila a Metoda,Košice-Juh
